Loading corpus from disk /home/jjohn273/git/Hcpcs2Vec/data/corpus.npy
Loaded corpus with length 1742602 in 2.815951108932495
Epoch: 1 	 loss: 3409638.0 	 time: 17.462342500686646
Epoch: 2 	 loss: 3079566.0 	 time: 15.890214443206787
Epoch: 3 	 loss: 2915878.0 	 time: 15.943067073822021
Epoch: 4 	 loss: 2643731.0 	 time: 15.85761833190918
Epoch: 5 	 loss: 2712173.0 	 time: 15.810111999511719
Epoch: 6 	 loss: 2555418.0 	 time: 15.769003868103027
Epoch: 7 	 loss: 2266576.0 	 time: 15.766662836074829
Epoch: 8 	 loss: 2252508.0 	 time: 15.777795791625977
Epoch: 9 	 loss: 2256850.0 	 time: 15.799987316131592
Epoch: 10 	 loss: 2284644.0 	 time: 15.741905927658081
Epoch: 11 	 loss: 2239224.0 	 time: 15.746410131454468
Epoch: 12 	 loss: 2258626.0 	 time: 15.765818357467651
Epoch: 13 	 loss: 2245276.0 	 time: 15.732344627380371
Epoch: 14 	 loss: 1622424.0 	 time: 15.761378288269043
Epoch: 15 	 loss: 1428632.0 	 time: 15.756482601165771
Epoch: 16 	 loss: 1469604.0 	 time: 15.729662656784058
Epoch: 17 	 loss: 1450700.0 	 time: 15.806263208389282
Epoch: 18 	 loss: 1450864.0 	 time: 15.72434949874878
Epoch: 19 	 loss: 1441340.0 	 time: 15.747564315795898
Epoch: 20 	 loss: 1474824.0 	 time: 15.70963168144226
Epoch: 21 	 loss: 1466572.0 	 time: 15.702892303466797
Epoch: 22 	 loss: 1437084.0 	 time: 15.713503360748291
Epoch: 23 	 loss: 1430264.0 	 time: 15.736628532409668
Epoch: 24 	 loss: 1446268.0 	 time: 15.741997003555298
Epoch: 25 	 loss: 1445116.0 	 time: 15.70138931274414
Epoch: 26 	 loss: 1461940.0 	 time: 15.687341690063477
Epoch: 27 	 loss: 1442928.0 	 time: 15.719369888305664
Epoch: 28 	 loss: 1440408.0 	 time: 15.711372137069702
Epoch: 29 	 loss: 1459332.0 	 time: 15.707709789276123
Epoch: 30 	 loss: 1465096.0 	 time: 15.73983120918274
Epoch: 31 	 loss: 1455644.0 	 time: 15.688385248184204
